,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Patrick van Aanholt,Crystal Palace,27.9,1595,1202,386,61,2,4,92,280,45,30,7,4,1241,7,20
1,Max Aarons,Norwich City,36.0,1711,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65
2,Yunis Abdelhamid,Reims,28.0,1570,1491,75,72,0,13,1,3,0,0,0,0,1323,4,10
3,Suleiman Abdullahi,Union Berlin,1.7,42,42,0,0,0,0,8,0,0,0,0,0,19,0,3
4,Mehdi Abeid,Nantes,20.2,967,870,93,38,1,10,63,5,50,24,15,1,792,4,15
5,Charles Abi,Saint-Étienne,6.9,132,121,11,0,0,0,5,0,0,0,0,0,75,0,7
6,David Abraham,Eint Frankfurt,18.8,911,857,52,22,0,12,9,30,0,0,0,0,738,2,5
7,Tammy Abraham,Chelsea,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24
8,Amir Abrashi,Freiburg,7.4,330,317,13,9,0,0,7,1,0,0,0,0,280,0,9
9,Francesco Acerbi,Lazio,35.1,2073,1979,93,69,3,38,26,23,1,0,0,0,1844,1,12
10,Che Adams,Southampton,12.3,263,261,0,0,4,4,13,0,0,0,0,0,162,2,10
11,Tyler Adams,RB Leipzig,10.6,703,626,77,21,0,5,10,56,0,0,0,0,584,0,14
12,Sargis Adamyan,Hoffenheim,8.3,180,169,10,0,0,1,11,7,0,0,0,0,128,1,11
13,Antonio Adan,Atlético Madrid,0.3,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0
14,Bobby Adekanye,Lazio,2.1,43,42,1,0,0,0,1,1,0,0,0,0,38,0,0
15,Claud Adjapong,Hellas Verona,2.6,83,69,14,0,0,0,3,14,0,0,0,0,58,0,1
16,Amine Adli,Toulouse,0.5,26,22,4,1,0,0,4,0,3,2,0,0,20,0,0
17,Yacine Adli,Bordeaux,11.3,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8
18,Adrian,Liverpool,9.7,311,217,94,24,0,1,0,0,0,0,0,0,238,0,1
19,Aritz Aduriz,Athletic Club,2.3,57,56,0,0,0,1,0,0,0,0,0,0,32,1,1
20,Lumor Agbenyenu,Mallorca,20.1,972,739,225,10,0,4,81,215,0,0,0,0,691,8,42
21,Martin Agirregabiria,Alavés,23.3,1028,770,254,14,1,3,33,239,1,0,1,0,714,4,39
22,Lucien Agoume,Inter,0.8,38,38,0,0,0,0,2,0,0,0,0,0,35,0,1
23,Kevin Agudelo,Fiorentina,0.7,37,36,0,0,0,0,0,0,0,0,0,0,29,1,0
24,Kevin Agudelo,Genoa,7.4,293,292,1,0,0,2,11,1,0,0,0,0,239,0,12
26,Nayef Aguerd,Dijon,10.6,597,578,17,13,0,17,1,4,0,0,0,0,492,2,3
27,Sergio Aguero,Manchester City,16.1,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7
28,Ruben Aguilar,Monaco,11.9,787,665,122,13,1,3,63,109,0,0,0,0,662,0,14
29,Emmanuel Agyemang-Badu,Hellas Verona,2.6,104,102,2,1,0,0,1,1,0,0,0,0,90,0,0
30,Jean-Eudes Aholou,Saint-Étienne,7.0,310,304,4,4,1,4,3,0,0,0,0,0,260,2,2
31,Joseph Aidoo,Celta Vigo,27.8,1250,1203,47,37,1,7,1,10,0,0,0,0,1078,0,14
32,Ola Aina,Torino,23.1,1185,936,243,14,1,5,62,225,4,0,0,0,862,6,27
33,Youssef Ait Bennasser,Bordeaux,6.0,406,400,4,3,1,0,2,1,0,0,0,0,350,2,6
34,Rayan Ait Nouri,Angers,14.2,808,655,151,3,0,2,43,148,0,0,0,0,618,2,23
