,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
45,Thiago Alcántara,ESP,MF,Bayern Munich,de Bundesliga,25.0,1991.0,25.4,4.0,0.0,0.0,39.0,28.0,2.0,42.0,129.0,57.0,0.0,0.0,0.0
46,Toby Alderweireld,BEL,DF,Tottenham,eng Premier League,27.0,1989.0,28.9,1.0,0.0,0.0,9.0,5.0,0.0,6.0,26.0,35.0,0.0,0.0,0.0
47,Haitam Aleesami,NOR,"MF,DF",Palermo,it Serie A,25.0,1991.0,29.2,6.0,0.0,0.0,38.0,19.0,5.0,98.0,45.0,39.0,0.0,1.0,0.0
48,Álex Alegría,ESP,FW,Betis,es La Liga,23.0,1992.0,16.0,2.0,0.0,0.0,43.0,54.0,9.0,4.0,5.0,5.0,0.0,0.0,0.0
49,Alexis Alegue,FRA,FW,Nantes,fr Ligue 1,19.0,1996.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,Carles Aleñá,ESP,MF,Barcelona,es La Liga,18.0,1998.0,0.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,Romain Alessandrini,FRA,"FW,MF",Marseille,fr Ligue 1,27.0,1989.0,2.7,1.0,0.0,0.0,3.0,1.0,1.0,17.0,1.0,1.0,0.0,0.0,0.0
53,Alexander,ARG,MF,Leganés,es La Liga,27.0,1988.0,22.6,1.0,0.0,0.0,21.0,29.0,14.0,97.0,24.0,28.0,0.0,0.0,0.0
54,Trent Alexander-Arnold,GBR,"MF,DF",Liverpool,eng Premier League,17.0,1998.0,1.9,0.0,0.0,0.0,1.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0
55,Alexis,ESP,DF,Alavés,es La Liga,30.0,1985.0,20.2,10.0,1.0,1.0,18.0,9.0,3.0,1.0,31.0,15.0,0.0,1.0,1.0
56,Jérémie Aliadière,FRA,FW,Lorient,fr Ligue 1,33.0,1983.0,5.4,0.0,0.0,0.0,10.0,5.0,8.0,18.0,2.0,2.0,0.0,0.0,0.0
57,Sami Allagui,TUN,"FW,MF",Hertha BSC,de Bundesliga,30.0,1986.0,2.0,2.0,0.0,0.0,5.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0
58,Allan,BRA,MF,Napoli,it Serie A,25.0,1991.0,17.9,3.0,0.0,0.0,25.0,31.0,0.0,23.0,24.0,51.0,0.0,0.0,0.0
59,Allan,BRA,MF,Hertha BSC,de Bundesliga,19.0,1997.0,8.9,3.0,0.0,0.0,14.0,11.0,0.0,4.0,36.0,19.0,0.0,0.0,0.0
60,Joe Allen,GB-WLS,MF,Stoke City,eng Premier League,26.0,1990.0,32.6,9.0,0.0,0.0,29.0,59.0,0.0,51.0,63.0,52.0,1.0,0.0,0.0
61,Dele Alli,GBR,MF,Tottenham,eng Premier League,20.0,1996.0,33.7,4.0,0.0,0.0,50.0,76.0,11.0,22.0,13.0,40.0,4.0,0.0,0.0
62,Ryan Allsop,GBR,GK,Bournemouth,eng Premier League,24.0,1992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Júnior Alonso,PRY,DF,Lille,fr Ligue 1,23.0,1993.0,10.7,1.0,0.0,0.0,12.0,3.0,1.0,1.0,26.0,11.0,0.0,0.0,1.0
64,Marcos Alonso,ESP,MF,Chelsea,eng Premier League,25.0,1990.0,29.9,2.0,0.0,0.0,25.0,20.0,3.0,102.0,43.0,38.0,0.0,0.0,0.0
65,Marcos Alonso,ESP,MF,Fiorentina,it Serie A,25.0,1990.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0
66,Xabi Alonso,ESP,MF,Bayern Munich,de Bundesliga,34.0,1981.0,21.1,6.0,0.0,0.0,30.0,28.0,0.0,44.0,63.0,43.0,0.0,1.0,0.0
67,Halil Altıntop,TUR,MF,Augsburg,de Bundesliga,33.0,1982.0,17.8,1.0,0.0,0.0,14.0,32.0,4.0,24.0,18.0,16.0,0.0,0.0,0.0
68,Hamit Altıntop,TUR,MF,Darmstadt 98,de Bundesliga,33.0,1982.0,15.1,3.0,0.0,0.0,14.0,16.0,0.0,9.0,44.0,37.0,0.0,1.0,0.0
69,Ricky Álvarez,ARG,MF,Sampdoria,it Serie A,28.0,1988.0,11.0,3.0,1.0,0.0,24.0,20.0,0.0,70.0,14.0,12.0,0.0,0.0,0.0
