,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Patrick van Aanholt,Crystal Palace,27.9,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1
1,Max Aarons,Norwich City,36.0,48,30,33,9,6,18,36,50.0,18,46,29,17,37,85,97,1
2,Yunis Abdelhamid,Reims,28.0,46,33,29,15,2,17,30,56.7,13,26,14,12,47,93,99,1
3,Suleiman Abdullahi,Union Berlin,1.7,0,0,0,0,0,0,3,0.0,3,2,1,1,1,1,1,0
4,Mehdi Abeid,Nantes,20.2,55,29,18,32,5,20,53,37.7,33,16,3,13,23,78,8,1
5,Charles Abi,Saint-Étienne,6.9,9,9,2,5,2,2,7,28.6,5,2,0,2,4,13,4,0
6,David Abraham,Eint Frankfurt,18.8,21,14,16,4,1,15,32,46.9,17,27,11,16,25,46,61,1
7,Tammy Abraham,Chelsea,24.6,8,4,2,5,1,3,14,21.4,11,20,2,18,6,14,27,0
8,Amir Abrashi,Freiburg,7.4,16,8,7,8,1,10,19,52.6,9,18,3,15,7,23,16,2
9,Francesco Acerbi,Lazio,35.1,59,29,42,12,5,14,20,70.0,6,40,27,13,42,101,109,1
10,Che Adams,Southampton,12.3,6,4,1,5,0,1,4,25.0,3,9,1,8,2,8,10,0
11,Tyler Adams,RB Leipzig,10.6,22,15,13,8,1,12,25,48.0,13,16,1,15,14,36,14,0
12,Sargis Adamyan,Hoffenheim,8.3,11,7,3,6,2,3,21,14.3,18,8,1,7,2,13,4,0
13,Antonio Adan,Atlético Madrid,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
14,Bobby Adekanye,Lazio,2.1,3,2,0,3,0,0,5,0.0,5,0,0,0,2,5,1,0
15,Claud Adjapong,Hellas Verona,2.6,5,3,4,1,0,2,3,66.7,1,4,3,1,3,8,7,0
16,Amine Adli,Toulouse,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
17,Yacine Adli,Bordeaux,11.3,22,14,4,15,3,11,34,32.4,23,10,0,10,8,30,3,0
18,Adrian,Liverpool,9.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,3
19,Aritz Aduriz,Athletic Club,2.3,3,2,0,3,0,0,0,0.0,0,0,0,0,0,3,2,0
20,Lumor Agbenyenu,Mallorca,20.1,31,21,19,9,3,16,35,45.7,19,13,2,11,21,52,66,1
21,Martin Agirregabiria,Alavés,23.3,55,30,32,18,5,30,54,55.6,24,19,7,12,18,73,48,0
22,Lucien Agoume,Inter,0.8,3,2,0,2,1,0,0,0.0,0,3,1,2,0,3,0,0
23,Kevin Agudelo,Fiorentina,0.7,2,1,0,1,1,0,1,0.0,1,1,0,1,1,3,0,0
24,Kevin Agudelo,Genoa,7.4,23,14,9,12,2,10,20,50.0,10,12,1,11,6,29,2,0
26,Nayef Aguerd,Dijon,10.6,13,9,7,5,1,8,12,66.7,4,11,11,0,18,31,54,0
27,Sergio Aguero,Manchester City,16.1,7,4,0,4,3,1,8,12.5,7,9,1,8,3,10,2,0
28,Ruben Aguilar,Monaco,11.9,36,22,19,15,2,19,28,67.9,9,6,2,4,11,47,21,0
29,Emmanuel Agyemang-Badu,Hellas Verona,2.6,1,1,0,1,0,1,2,50.0,1,2,2,0,1,2,6,0
30,Jean-Eudes Aholou,Saint-Étienne,7.0,16,12,2,11,3,3,9,33.3,6,6,1,5,15,31,10,0
31,Joseph Aidoo,Celta Vigo,27.8,43,27,30,11,2,13,27,48.1,14,31,14,17,45,88,124,3
32,Ola Aina,Torino,23.1,45,24,23,18,4,17,37,45.9,20,24,6,18,41,86,61,0
33,Youssef Ait Bennasser,Bordeaux,6.0,11,8,6,4,1,4,24,16.7,20,6,1,5,4,15,10,1
34,Rayan Ait Nouri,Angers,14.2,29,22,14,8,7,10,21,47.6,11,14,1,13,18,47,33,0
35,Albian Ajeti,West Ham,1.5,1,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
36,Ludovic Ajorque,Strasbourg,22.9,15,10,2,10,3,2,13,15.4,11,11,0,11,2,17,20,0
37,Manuel Akanji,Dortmund,25.7,38,21,23,14,1,12,20,60.0,8,20,11,9,30,68,61,2
